full_lemma,freq,freq_class,rank,prop,cum_sum_prop
en politikk,68,3,54,0.001535092669932501,0.20143576314423098
en mor,67,3,55,0.0015125177777276114,0.2029482809219586
et spill,65,3,56,0.0014673679933178319,0.20441564891527642
en bruk,64,3,57,0.0014447931011129422,0.20586044201638937
en kommune,64,3,57,0.0014447931011129422,0.20730523511750232
et løp,64,3,57,0.0014447931011129422,0.20875002821861524
et medium,64,3,57,0.0014447931011129422,0.2101948213197282
ei kvinne,63,3,58,0.0014222182089080524,0.21161703952863625
ei side,63,3,58,0.0014222182089080524,0.2130392577375443
et minutt,63,3,58,0.0014222182089080524,0.21446147594645235
ei myndighet,62,3,59,0.0013996433167031627,0.21586111926315552
en spiller,62,3,59,0.0013996433167031627,0.21726076257985869
en lov,61,3,60,0.001377068424498273,0.21863783100435696
et foto,61,3,60,0.001377068424498273,0.22001489942885522
et navn,61,3,60,0.001377068424498273,0.2213919678533535
en organisasjon,60,3,61,0.0013544935322933832,0.22274646138564688
en politiker,60,3,61,0.0013544935322933832,0.22410095491794027
en situasjon,60,3,61,0.0013544935322933832,0.22545544845023366
et miljø,60,3,61,0.0013544935322933832,0.22680994198252702
en forelder,59,3,62,0.0013319186400884936,0.22814186062261552
en statsråd,59,3,62,0.0013319186400884936,0.22947377926270401
en venn,59,3,62,0.0013319186400884936,0.2308056979027925
et svar,59,3,62,0.0013319186400884936,0.232137616542881
en slutt,58,3,63,0.001309343747883604,0.23344696029076462
en gutt,57,3,64,0.001286768855678714,0.23473372914644333
et møte,57,3,64,0.001286768855678714,0.23602049800212205
et publikum,57,3,64,0.001286768855678714,0.23730726685780076
en nordmann,56,3,65,0.0012641939634738244,0.2385714608212746
en pris,56,3,65,0.0012641939634738244,0.23983565478474841
en historie,55,3,66,0.0012416190712689348,0.24107727385601735
en rekke,55,3,66,0.0012416190712689348,0.24231889292728628
ei historie,54,3,67,0.001219044179064045,0.24353793710635033
et flertall,54,3,67,0.001219044179064045,0.24475698128541437
et prosjekt,54,3,67,0.001219044179064045,0.24597602546447841
en bedrift,53,3,68,0.0011964692868591553,0.24717249475133757
en fredag,53,3,68,0.0011964692868591553,0.24836896403819672
en periode,53,3,68,0.0011964692868591553,0.24956543332505587
en måned,52,3,69,0.0011738943946542656,0.25073932771971014
en informasjon,51,3,70,0.0011513195024493758,0.25189064722215954
en musikk,51,3,70,0.0011513195024493758,0.2530419667246089
en regel,51,3,70,0.0011513195024493758,0.2541932862270583
en representant,50,3,71,0.0011287446102444861,0.25532203083730276
en time,50,3,71,0.0011287446102444861,0.25645077544754724
en verdi,50,3,71,0.0011287446102444861,0.2575795200577917
et poeng,50,3,71,0.0011287446102444861,0.2587082646680362
ei endring,48,3,72,0.0010835948258347066,0.2597918594938709
ei sak,48,3,72,0.0010835948258347066,0.2608754543197056
et resultat,48,3,72,0.0010835948258347066,0.2619590491455403
ei avis,47,4,73,0.001061019933629817,0.26302006907917014
en økonomi,47,4,73,0.001061019933629817,0.2640810890128
en søndag,47,4,73,0.001061019933629817,0.26514210894642976
en tanke,47,4,73,0.001061019933629817,0.2662031288800596
en teknologi,47,4,73,0.001061019933629817,0.26726414881368943
et gasskraftverk,47,4,73,0.001061019933629817,0.2683251687473192
ei støtte,46,4,74,0.0010384450414249271,0.2693636137887442
en formuesskatt,46,4,74,0.0010384450414249271,0.2704020588301691
en valgmannstemme,46,4,74,0.0010384450414249271,0.271440503871594
et behov,46,4,74,0.0010384450414249271,0.27247894891301894
en fotball,45,4,75,0.0010158701492200375,0.273494819062239
en lørdag,45,4,75,0.0010158701492200375,0.274510689211459
ei hjelp,44,4,76,9.932952570151478e-4,0.2755039844684742
en bok,44,4,76,9.932952570151478e-4,0.2764972797254893
en kontakt,44,4,76,9.932952570151478e-4,0.27749057498250446
et tiltak,44,4,76,9.932952570151478e-4,0.2784838702395196
en lege,43,4,77,9.707203648102581e-4,0.27945459060432987
et sykehus,43,4,77,9.707203648102581e-4,0.28042531096914014
ei mulighet,42,4,78,9.481454726053683e-4,0.2813734564417455
en mamma,42,4,78,9.481454726053683e-4,0.28232160191435085
en plan,42,4,78,9.481454726053683e-4,0.2832697473869562
en seier,42,4,78,9.481454726053683e-4,0.2842178928595616
en side,42,4,78,9.481454726053683e-4,0.28516603833216697
en sjanse,42,4,78,9.481454726053683e-4,0.2861141838047723
en høst,41,4,79,9.255705804004786e-4,0.2870397543851728
et par,41,4,79,9.255705804004786e-4,0.2879653249655733
et tall,41,4,79,9.255705804004786e-4,0.28889089554597375
en følelse,40,4,80,9.029956881955889e-4,0.2897938912341694
en ledelse,40,4,80,9.029956881955889e-4,0.29069688692236495
en rolle,40,4,80,9.029956881955889e-4,0.2915998826105605
et øye,40,4,80,9.029956881955889e-4,0.2925028782987561
en religion,39,4,81,8.804207959906992e-4,0.2933832990947468
en kunst,38,4,82,8.578459037858094e-4,0.29424114499853266
en milliard,38,4,82,8.578459037858094e-4,0.29509899090231845
et språk,38,4,82,8.578459037858094e-4,0.29595683680610424
et tilfelle,38,4,82,8.578459037858094e-4,0.29681468270989003
ei jente,37,4,83,8.352710115809197e-4,0.29764995372147096
en tale,37,4,83,8.352710115809197e-4,0.2984852247330519
en tvil,37,4,83,8.352710115809197e-4,0.2993204957446328
et vedtak,37,4,83,8.352710115809197e-4,0.30015576675621375
ei mor,36,4,84,8.1269611937603e-4,0.30096846287558976
ei utfordring,36,4,84,8.1269611937603e-4,0.30178115899496577
ei bok,35,4,85,7.901212271711403e-4,0.3025712802221369
ei handling,35,4,85,7.901212271711403e-4,0.30336140144930807
en båt,35,4,85,7.901212271711403e-4,0.3041515226764792
en mat,35,4,85,7.901212271711403e-4,0.30494164390365036
en muslim,35,4,85,7.901212271711403e-4,0.3057317651308215
en sammenheng,35,4,85,7.901212271711403e-4,0.30652188635799266
en sønn,35,4,85,7.901212271711403e-4,0.3073120075851638
et marked,35,4,85,7.901212271711403e-4,0.3081021288123349
et tak,35,4,85,7.901212271711403e-4,0.30889225003950604
ei form,34,4,86,7.675463349662505e-4,0.30965979637447233
en avtale,34,4,86,7.675463349662505e-4,0.31042734270943856
en forbindelse,34,4,86,7.675463349662505e-4,0.3111948890444048
en interesse,34,4,86,7.675463349662505e-4,0.3119624353793711
en klubb,34,4,86,7.675463349662505e-4,0.3127299817143373
en kontroll,34,4,86,7.675463349662505e-4,0.3134975280493036
en kultur,34,4,86,7.675463349662505e-4,0.3142650743842698
en kunstner,34,4,86,7.675463349662505e-4,0.31503262071923605
et grunnlag,34,4,86,7.675463349662505e-4,0.31580016705420233
en bakgrunn,33,4,87,7.449714427613609e-4,0.3165451384969637
en forskjell,33,4,87,7.449714427613609e-4,0.31729010993972506
en kunnskap,33,4,87,7.449714427613609e-4,0.3180350813824864
et fokus,33,4,87,7.449714427613609e-4,0.31878005282524774
ei linje,32,4,88,7.223965505564711e-4,0.31950244937580424
ei øy,32,4,88,7.223965505564711e-4,0.3202248459263607
ei virksomhet,32,4,88,7.223965505564711e-4,0.3209472424769172
en juli,32,4,88,7.223965505564711e-4,0.32166963902747364
en konsekvens,32,4,88,7.223965505564711e-4,0.3223920355780301
en kvinne,32,4,88,7.223965505564711e-4,0.3231144321285866
en mandag,32,4,88,7.223965505564711e-4,0.32383682867914304
en oktober,32,4,88,7.223965505564711e-4,0.32455922522969954
en rapport,32,4,88,7.223965505564711e-4,0.325281621780256
en respekt,32,4,88,7.223965505564711e-4,0.3260040183308125
en ressurs,32,4,88,7.223965505564711e-4,0.32672641488136894
en topp,32,4,88,7.223965505564711e-4,0.3274488114319254
en utvikling,32,4,88,7.223965505564711e-4,0.3281712079824819
et antall,32,4,88,7.223965505564711e-4,0.32889360453303834
et rom,32,4,88,7.223965505564711e-4,0.32961600108359485
et vitne,32,4,88,7.223965505564711e-4,0.3303383976341513
en bane,31,4,89,6.998216583515814e-4,0.3310382192925029
en død,31,4,89,6.998216583515814e-4,0.33173804095085446
en opplevelse,31,4,89,6.998216583515814e-4,0.33243786260920605
et drap,31,4,89,6.998216583515814e-4,0.33313768426755763
et hensyn,31,4,89,6.998216583515814e-4,0.3338375059259092
et hode,31,4,89,6.998216583515814e-4,0.3345373275842608
et innlegg,31,4,89,6.998216583515814e-4,0.3352371492426124
et uttrykk,31,4,89,6.998216583515814e-4,0.33593697090096397
en amerikaner,30,4,90,6.772467661466916e-4,0.33661421766711064
en morgen,30,4,90,6.772467661466916e-4,0.3372914644332573
en statskirkeordning,30,4,90,6.772467661466916e-4,0.337968711199404
et angrep,30,4,90,6.772467661466916e-4,0.3386459579655507
et barnevern,30,4,90,6.772467661466916e-4,0.3393232047316974
et data,30,4,90,6.772467661466916e-4,0.3400004514978441
et næringsliv,30,4,90,6.772467661466916e-4,0.3406776982639908
et nett,30,4,90,6.772467661466916e-4,0.34135494503013747
et system,30,4,90,6.772467661466916e-4,0.3420321917962842
ei regjering,29,4,91,6.54671873941802e-4,0.342686863670226
en fred,29,4,91,6.54671873941802e-4,0.3433415355441678
en journalist,29,4,91,6.54671873941802e-4,0.3439962074181096
en klokke,29,4,91,6.54671873941802e-4,0.3446508792920514
en skatt,29,4,91,6.54671873941802e-4,0.3453055511659932
en tur,29,4,91,6.54671873941802e-4,0.34596022303993496
en uke,29,4,91,6.54671873941802e-4,0.34661489491387676
et alternativ,29,4,91,6.54671873941802e-4,0.34726956678781856
et utgangspunkt,29,4,91,6.54671873941802e-4,0.34792423866176037
ei makt,28,4,92,6.320969817369122e-4,0.3485563356434973
ei tro,28,4,92,6.320969817369122e-4,0.3491884326252342
en datter,28,4,92,6.320969817369122e-4,0.34982052960697113
en feil,28,4,92,6.320969817369122e-4,0.350452626588708
en finansminister,28,4,92,6.320969817369122e-4,0.35108472357044496
en innsats,28,4,92,6.320969817369122e-4,0.35171682055218184
en kritikk,28,4,92,6.320969817369122e-4,0.3523489175339188
en rektor,28,4,92,6.320969817369122e-4,0.35298101451565567
en sommer,28,4,92,6.320969817369122e-4,0.3536131114973926
en uttalelse,28,4,92,6.320969817369122e-4,0.3542452084791295
et avfall,28,4,92,6.320969817369122e-4,0.35487730546086643
et demokrati,28,4,92,6.320969817369122e-4,0.3555094024426033
et kart,28,4,92,6.320969817369122e-4,0.35614149942434026
et program,28,4,92,6.320969817369122e-4,0.35677359640607714
ei betydning,27,4,93,6.095220895320225e-4,0.35738311849560916
ei utvikling,27,4,93,6.095220895320225e-4,0.3579926405851412
en ambassade,27,4,93,6.095220895320225e-4,0.3586021626746732
en arkitektur,27,4,93,6.095220895320225e-4,0.35921168476420523
en finanskrise,27,4,93,6.095220895320225e-4,0.35982120685373725
en forfatter,27,4,93,6.095220895320225e-4,0.3604307289432693
en praksis,27,4,93,6.095220895320225e-4,0.3610402510328013
en sang,27,4,93,6.095220895320225e-4,0.3616497731223333
en sesong,27,4,93,6.095220895320225e-4,0.36225929521186534
en telefon,27,4,93,6.095220895320225e-4,0.36286881730139736
en type,27,4,93,6.095220895320225e-4,0.3634783393909294
en vilje,27,4,93,6.095220895320225e-4,0.3640878614804614
et helikopter,27,4,93,6.095220895320225e-4,0.3646973835699934
ei inntekt,26,4,94,5.869471973271328e-4,0.3652843307673206
ei stilling,26,4,94,5.869471973271328e-4,0.3658712779646477
en aktør,26,4,94,5.869471973271328e-4,0.36645822516197485
en ball,26,4,94,5.869471973271328e-4,0.367045172359302
en diskusjon,26,4,94,5.869471973271328e-4,0.3676321195566291
en innbygger,26,4,94,5.869471973271328e-4,0.36821906675395627
en januar,26,4,94,5.869471973271328e-4,0.3688060139512834
en meter,26,4,94,5.869471973271328e-4,0.36939296114861053
en nabo,26,4,94,5.869471973271328e-4,0.36997990834593764
en omgang,26,4,94,5.869471973271328e-4,0.3705668555432648
en opprører,26,4,94,5.869471973271328e-4,0.3711538027405919
en rest,26,4,94,5.869471973271328e-4,0.37174074993791906
en scene,26,4,94,5.869471973271328e-4,0.37232769713524616
en trussel,26,4,94,5.869471973271328e-4,0.3729146443325733
en ungdom,26,4,94,5.869471973271328e-4,0.3735015915299004
en vippestat,26,4,94,5.869471973271328e-4,0.3740885387272276
et blikk,26,4,94,5.869471973271328e-4,0.3746754859245547
et håp,26,4,94,5.869471973271328e-4,0.37526243312188184
et nummer,26,4,94,5.869471973271328e-4,0.37584938031920895
et salg,26,4,94,5.869471973271328e-4,0.3764363275165361
ei forskning,25,4,95,5.643723051222431e-4,0.37700069982165835
ei grense,25,4,95,5.643723051222431e-4,0.3775650721267806
ei hånd,25,4,95,5.643723051222431e-4,0.37812944443190283
ei investering,25,4,95,5.643723051222431e-4,0.37869381673702507
ei kraft,25,4,95,5.643723051222431e-4,0.3792581890421473
en innflytelse,25,4,95,5.643723051222431e-4,0.37982256134726955
en natur,25,4,95,5.643723051222431e-4,0.3803869336523918
en republikaner,25,4,95,5.643723051222431e-4,0.38095130595751403
en vinner,25,4,95,5.643723051222431e-4,0.38151567826263627
en virksomhet,25,4,95,5.643723051222431e-4,0.3820800505677585
et alvor,25,4,95,5.643723051222431e-4,0.3826444228728808
et departement,25,4,95,5.643723051222431e-4,0.38320879517800305
et formål,25,4,95,5.643723051222431e-4,0.3837731674831253
et innhold,25,4,95,5.643723051222431e-4,0.38433753978824753
et inntrykk,25,4,95,5.643723051222431e-4,0.38490191209336977
et ønske,25,4,95,5.643723051222431e-4,0.385466284398492
et tema,25,4,95,5.643723051222431e-4,0.38603065670361425
et tilbud,25,4,95,5.643723051222431e-4,0.3865950290087365
ei art,24,4,96,5.417974129173533e-4,0.3871368264216538
ei behandling,24,4,96,5.417974129173533e-4,0.3876786238345712
ei datter,24,4,96,5.417974129173533e-4,0.38822042124748857
ei ordning,24,4,96,5.417974129173533e-4,0.3887622186604059
en desember,24,4,96,5.417974129173533e-4,0.38930401607332327
en frykt,24,4,96,5.417974129173533e-4,0.3898458134862406
en hovedstad,24,4,96,5.417974129173533e-4,0.39038761089915797
en kommentar,24,4,96,5.417974129173533e-4,0.3909294083120753
en løsning,24,4,96,5.417974129173533e-4,0.39147120572499267
en pave,24,4,96,5.417974129173533e-4,0.39201300313791004
en reaksjon,24,4,96,5.417974129173533e-4,0.39255480055082737
en samtale,24,4,96,5.417974129173533e-4,0.39309659796374474
en svenske,24,4,96,5.417974129173533e-4,0.39363839537666206
en vår,24,4,96,5.417974129173533e-4,0.39418019278957944
et livssynssamfunn,24,4,96,5.417974129173533e-4,0.39472199020249676
et prinsipp,24,4,96,5.417974129173533e-4,0.39526378761541414
et syn,24,4,96,5.417974129173533e-4,0.39580558502833146
ei kone,23,5,97,5.192225207124636e-4,0.396324807549044
ei menneskerettighet,23,5,97,5.192225207124636e-4,0.39684403006975644
en drøm,23,5,97,5.192225207124636e-4,0.3973632525904689
en effekt,23,5,97,5.192225207124636e-4,0.39788247511118136
en energi,23,5,97,5.192225207124636e-4,0.3984016976318938
en fare,23,5,97,5.192225207124636e-4,0.3989209201526063
en forståelse,23,5,97,5.192225207124636e-4,0.39944014267331873
en gruppe,23,5,97,5.192225207124636e-4,0.3999593651940312
en mulighet,23,5,97,5.192225207124636e-4,0.40047858771474365
en posisjon,23,5,97,5.192225207124636e-4,0.4009978102354561
en skade,23,5,97,5.192225207124636e-4,0.40151703275616857
en søster,23,5,97,5.192225207124636e-4,0.402036255276881
en student,23,5,97,5.192225207124636e-4,0.40255547779759354
en talsmann,23,5,97,5.192225207124636e-4,0.403074700318306
en vekst,23,5,97,5.192225207124636e-4,0.40359392283901846
en velger,23,5,97,5.192225207124636e-4,0.4041131453597309
en virkelighet,23,5,97,5.192225207124636e-4,0.4046323678804434
et brev,23,5,97,5.192225207124636e-4,0.40515159040115584
et middel,23,5,97,5.192225207124636e-4,0.4056708129218683
et tap,23,5,97,5.192225207124636e-4,0.40619003544258075
et tusen,23,5,97,5.192225207124636e-4,0.4067092579632932
ei gruppe,22,5,98,4.966476285075739e-4,0.4072059055918008
ei helse,22,5,98,4.966476285075739e-4,0.40770255322030835
ei løsning,22,5,98,4.966476285075739e-4,0.40819920084881595
ei sikkerhet,22,5,98,4.966476285075739e-4,0.40869584847732354
en bank,22,5,98,4.966476285075739e-4,0.4091924961058311
en befolkning,22,5,98,4.966476285075739e-4,0.4096891437343387
en dialog,22,5,98,4.966476285075739e-4,0.4101857913628462
en eiendom,22,5,98,4.966476285075739e-4,0.4106824389913538
en forsker,22,5,98,4.966476285075739e-4,0.4111790866198614
en fotballspiller,22,5,98,4.966476285075739e-4,0.41167573424836895
en idé,22,5,98,4.966476285075739e-4,0.41217238187687655
en kjole,22,5,98,4.966476285075739e-4,0.4126690295053841
en mars,22,5,98,4.966476285075739e-4,0.4131656771338917
en ordning,22,5,98,4.966476285075739e-4,0.4136623247623993
en pappa,22,5,98,4.966476285075739e-4,0.4141589723909068
en sykdom,22,5,98,4.966476285075739e-4,0.4146556200194144
et budskap,22,5,98,4.966476285075739e-4,0.41515226764792196
et mandat,22,5,98,4.966476285075739e-4,0.41564891527642955
et offer,22,5,98,4.966476285075739e-4,0.41614556290493715
et utslipp,22,5,98,4.966476285075739e-4,0.4166422105334447
ei natt,21,5,99,4.7407273630268416e-4,0.41711628326974737
en hverdag,21,5,99,4.7407273630268416e-4,0.41759035600605005
en kjæreste,21,5,99,4.7407273630268416e-4,0.4180644287423528
en kunde,21,5,99,4.7407273630268416e-4,0.41853850147865546
en opsjon,21,5,99,4.7407273630268416e-4,0.41901257421495813
en sex,21,5,99,4.7407273630268416e-4,0.4194866469512608
en sysselmann,21,5,99,4.7407273630268416e-4,0.4199607196875635
et bygg,21,5,99,4.7407273630268416e-4,0.42043479242386617
et hjerte,21,5,99,4.7407273630268416e-4,0.42090886516016884
et lys,21,5,99,4.7407273630268416e-4,0.4213829378964715
et øyeblikk,21,5,99,4.7407273630268416e-4,0.42185701063277425
et utland,21,5,99,4.7407273630268416e-4,0.42233108336907693
ei oppgave,20,5,100,4.5149784409779446e-4,0.4227825812131747
ei rettighet,20,5,100,4.5149784409779446e-4,0.4232340790572725
en avgjørelse,20,5,100,4.5149784409779446e-4,0.4236855769013703
en dom,20,5,100,4.5149784409779446e-4,0.4241370747454681
en generalsekretær,20,5,100,4.5149784409779446e-4,0.4245885725895659
en konkurranse,20,5,100,4.5149784409779446e-4,0.42504007043366365
en leilighet,20,5,100,4.5149784409779446e-4,0.42549156827776147
en medisin,20,5,100,4.5149784409779446e-4,0.4259430661218593
en mobiltelefon,20,5,100,4.5149784409779446e-4,0.42639456396595704
en nedgang,20,5,100,4.5149784409779446e-4,0.42684606181005486
en sektor,20,5,100,4.5149784409779446e-4,0.42729755965415267
en september,20,5,100,4.5149784409779446e-4,0.42774905749825043
en slags,20,5,100,4.5149784409779446e-4,0.42820055534234824
en soldat,20,5,100,4.5149784409779446e-4,0.42865205318644606
en stand,20,5,100,4.5149784409779446e-4,0.4291035510305438
en strategi,20,5,100,4.5149784409779446e-4,0.42955504887464163
en styrke,20,5,100,4.5149784409779446e-4,0.4300065467187394
en torsdag,20,5,100,4.5149784409779446e-4,0.4304580445628372
en utfordring,20,5,100,4.5149784409779446e-4,0.430909542406935
en valgkamp,20,5,100,4.5149784409779446e-4,0.4313610402510328
en vold,20,5,100,4.5149784409779446e-4,0.4318125380951306
et begrep,20,5,100,4.5149784409779446e-4,0.4322640359392284
et engasjement,20,5,100,4.5149784409779446e-4,0.43271553378332617
et klær,20,5,100,4.5149784409779446e-4,0.433167031627424
et organ,20,5,100,4.5149784409779446e-4,0.4336185294715218
et signal,20,5,100,4.5149784409779446e-4,0.43407002731561956
et tiår,20,5,100,4.5149784409779446e-4,0.43452152515971737
ei evne,19,5,101,4.289229518929047e-4,0.43495044811161027
ei folkekirke,19,5,101,4.289229518929047e-4,0.43537937106350316
ei frihet,19,5,101,4.289229518929047e-4,0.43580829401539606
ei holdning,19,5,101,4.289229518929047e-4,0.43623721696728895
ei melding,19,5,101,4.289229518929047e-4,0.4366661399191819
ei oppmerksomhet,19,5,101,4.289229518929047e-4,0.4370950628710748
ei rolle,19,5,101,4.289229518929047e-4,0.4375239858229677
ei vekt,19,5,101,4.289229518929047e-4,0.4379529087748606
en avstand,19,5,101,4.289229518929047e-4,0.4383818317267535
en direktør,19,5,101,4.289229518929047e-4,0.4388107546786464
en ekspert,19,5,101,4.289229518929047e-4,0.43923967763053934
en følge,19,5,101,4.289229518929047e-4,0.43966860058243223
en kompetanse,19,5,101,4.289229518929047e-4,0.44009752353432513
en mobil,19,5,101,4.289229518929047e-4,0.440526446486218
en operasjon,19,5,101,4.289229518929047e-4,0.4409553694381109
en TV-kanal,19,5,101,4.289229518929047e-4,0.4413842923900038
en undersøkelse,19,5,101,4.289229518929047e-4,0.44181321534189677
en utenriksminister,19,5,101,4.289229518929047e-4,0.44224213829378967
en vegg,19,5,101,4.289229518929047e-4,0.44267106124568256
et ansikt,19,5,101,4.289229518929047e-4,0.44309998419757546
et fond,19,5,101,4.289229518929047e-4,0.44352890714946835
et klima,19,5,101,4.289229518929047e-4,0.44395783010136125
et mindretall,19,5,101,4.289229518929047e-4,0.44438675305325415
et nivå,19,5,101,4.289229518929047e-4,0.4448156760051471
et politidistrikt,19,5,101,4.289229518929047e-4,0.44524459895704
et press,19,5,101,4.289229518929047e-4,0.4456735219089329
et trossamfunn,19,5,101,4.289229518929047e-4,0.4461024448608258
ei anledning,18,5,102,4.06348059688015e-4,0.4465087929205138
ei dronning,18,5,102,4.06348059688015e-4,0.4469151409802018
ei klokke,18,5,102,4.06348059688015e-4,0.44732148903988983
ei veske,18,5,102,4.06348059688015e-4,0.44772783709957786
ei vurdering,18,5,102,4.06348059688015e-4,0.44813418515926584
en aktivitet,18,5,102,4.06348059688015e-4,0.4485405332189539
en bror,18,5,102,4.06348059688015e-4,0.4489468812786419
en cannabis,18,5,102,4.06348059688015e-4,0.4493532293383299
en gjest,18,5,102,4.06348059688015e-4,0.4497595773980179
en kandidat,18,5,102,4.06348059688015e-4,0.45016592545770595
en kilde,18,5,102,4.06348059688015e-4,0.45057227351739393
en konsert,18,5,102,4.06348059688015e-4,0.45097862157708196
en krise,18,5,102,4.06348059688015e-4,0.45138496963677
en kvalitet,18,5,102,4.06348059688015e-4,0.451791317696458
en makt,18,5,102,4.06348059688015e-4,0.452197665756146
en modell,18,5,102,4.06348059688015e-4,0.45260401381583404
en norm,18,5,102,4.06348059688015e-4,0.45301036187552207
en oppgave,18,5,102,4.06348059688015e-4,0.45341670993521005
en sjef,18,5,102,4.06348059688015e-4,0.4538230579948981
en suksess,18,5,102,4.06348059688015e-4,0.4542294060545861
et besøk,18,5,102,4.06348059688015e-4,0.4546357541142741
et faktum,18,5,102,4.06348059688015e-4,0.4550421021739621
et fengsel,18,5,102,4.06348059688015e-4,0.45544845023365016
et forsvar,18,5,102,4.06348059688015e-4,0.45585479829333814
et hull,18,5,102,4.06348059688015e-4,0.45626114635302617
et sekund,18,5,102,4.06348059688015e-4,0.4566674944127142
et standpunkt,18,5,102,4.06348059688015e-4,0.4570738424724022
et stoff,18,5,102,4.06348059688015e-4,0.4574801905320902
et stykke,18,5,102,4.06348059688015e-4,0.45788653859177825
et styre,18,5,102,4.06348059688015e-4,0.4582928866514662
ei glede,17,5,103,3.8377316748312526e-4,0.45867665981894934
ei lyst,17,5,103,3.8377316748312526e-4,0.4590604329864325
ei pille,17,5,103,3.8377316748312526e-4,0.4594442061539156
ei søster,17,5,103,3.8377316748312526e-4,0.45982797932139874
ei tekst,17,5,103,3.8377316748312526e-4,0.46021175248888185
ei utdanning,17,5,103,3.8377316748312526e-4,0.46059552565636497
en alder,17,5,103,3.8377316748312526e-4,0.46097929882384814
